ID;Empresa;Año_creacion;CNAE_SECTOR;num_cnae;CNAE;Objeto_social;CNAE_SECCIÓN;CNAE_DIVISIÓN;Sector;Localidad;Provincia;Ventas;Empleados;Telefono;Web;Email
79;Transnachete Sl;2010;Servicios;4941;4941 - transporte de mercancías por carretera;a-toda clase de transporte por carretera de mercancías y pasajeros, tantoen servicios discrecionales como regulares. el transporte de servicio público, nacional e internacional de mercancías, así como las actividades auxiliares y complementarias del transporte. siendo operador de transporte de mer;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965524435;----;infotransportesrubio@gmail.com
80;Edificios y Locales Industriales Sa;1979;Servicios;6820;6820 - alquiler de bienes inmobiliarios por cuenta propia;alquiler de locales, edificios, naves etc.;Actividades inmobiliarias;Actividades inmobiliarias;servicios_inmobiliarios;Alcoy;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966544100;----;----
81;Promociones Inmobiliarias Bonet Sl;1985;Construcción;4110;4110 - promoción inmobiliaria;construcción y promoción inmobiliaria;Construcción;Construcción de edificios;construccion;Alcoy;Alicante;Entre 3 y 6 millones;Menos de 5;965331180;www.construccionesbonet.es;INFO@CONSTRUCCIONESBONET.ES
82;Tecteltic On-line Sl;2005;Servicios;6209;6209 - otros servicios relacionados con las tecnologías de la información y la informática;agentes de entidades de credito, actividades inmobiliarias, compraventa y tenencia de valores mobiliarios y de bienes inmuebles por cuenta propia, excluyendo las actividades sujetas a legislacion especial;Información y comunicaciones;Programación, consultoría y otras actividades relacionadas con la informática;informatica;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;902070087;www.entradasatualcance.com;info@entradasatualcance.com
83;Textiles Frau Perez Sl;1987;Industria;1392;1392 - fabricación de artículos confeccionados con textiles, excepto prendas de vestir;fabricación de tejidos para la tapicería y la decoración.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965540121;www.textilesfrauperezsl.com;tfrau@textilesfrauperezsl.com
84;Industrias Segui Alcoy Sl;2006;Industria;2511;2511 - fabricación de estructuras metálicas y sus componentes;fabricación de estructuras para energía solar.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965544256;www.seguirenovables.es;segui@segui.com.es
85;Transloren 2013 Sl;2013;Servicios;4941;4941 - transporte de mercancías por carretera;transporte nacional e internacional de mercancías por carretera.;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965591695;----;transloren2013facturacion@gmail.com
86;Desarrollos Tecnicos Soluciones Tic Sl;2010;Servicios;6120;6120 - telecomunicaciones inalámbricas;intermediadora. 1. la consultoría e ingeniería tecnológica en telecomunicaciones, en informática y en sistemas de la información y el asesoramiento, comercialización, implementación y mantenimiento de proyectos en las materias anteriormente indicadas. 2. la prestación, contratación, subcontratación,.;Información y comunicaciones;Telecomunicaciones;telecomunicaciones;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 15;932201733;www.beeztel.com;info@beeztel.com
87;Asfaltos Y Construcciones Aitana Sl;2014;Construcción;4211;4211 - construcción de carreteras y autopistas;construcción, edificación y obra civil. trabajos de albañilería y reformas en todo tipo de inmuebles. instalaciones eléctricas, de iluminación y cualquier otro tipo de instalaciones en obras de construcción. la realización por cuenta propia o ajena de todo tipo de estudios económicos, de asesoramien;Construcción;Ingeniería civil;construccion;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;640 63 43 25;www.acaitana.es;estudios@acaitana.com
88;Salvador Domenech Sl;1991;Industria;2512;2512 - fabricación de carpintería metálica;fabricación de ventanas de pvc.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965549670;www.salvadordomenech.es;info@salvadordomenech.es
89;Freemedia Internet Sl;2005;Servicios;6201;6201 - actividades de programación informática;desarrollo,diseño y programación informática.;Información y comunicaciones;Programación, consultoría y otras actividades relacionadas con la informática;informatica;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965334670;www.freemediainternet.com;----
90;Sercomac Sa;1985;Servicios;4674;4674 - comercio al por mayor de ferretería, fontanería y calefacción;comercio al por mayor de maquinaria industrial y sus accesorios.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Alcoy;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965525012;www.sercomac.com;info@sercomac.com
91;Mako Textil Sl;2000;Servicios;4641;4641 - comercio al por mayor de textiles;comercio al por mayor y menor de textil de hogar y tejidos de todas clases;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;textil;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;966500839;www.makotextil.com;informacion@makotextil.com
92;Plastgrommet Sl;1991;Industria;2221;2221 - fabricación de placas, hojas, tubos y perfiles de plástico;fabricación y transformación del plástico para la industria textil, agrícola y publicidad.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965339969;www.plastgrommet.com;info@plastgrommet.com
93;Caucho Industrial Verdu Sl;1981;Industria;2219;2219 - fabricación de otros productos de caucho;fabricación de apoyo elastoméricos para contractivos y juntas de estanqueidad de todo tipo;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965520950;www.cauchoverdu.com;info@cauchoverdu.com
94;Hilados Muravo Sl;2012;Servicios;4641;4641 - comercio al por mayor de textiles;comercio al por mayor de hilados.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;textil;Alcoy;Alicante;Entre 3 y 6 millones;Menos de 5;966516485;----;Hilados Muravo Sl
95;Muñoz Miralles Sl;1964;Industria;1391;1391 - fabricación de tejidos de punto;fabricación de tejidos de punto para baño y lencería;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965330889;www.espunto.es;info@espunto.es
96;Viuda De Juan Perez Aura Sl;1974;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;almacén de material de construcción.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Alcoy;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965545622;www.bigmat.es;otrujillo.aura@bigmat.es
97;Textiles Pascual Sa;1966;Industria;1320;1320 - fabricación de tejidos textiles;actividades de tejeduría y fabricación de tejidos para tapicería.;Industria manufacturera;Industria textil;textil;Alcoy;Alicante;Entre 3 y 6 millones;Entre 50 y 250;966544100;www.aquaclean.com;tpascual@tpascual.com
98;Itc Packaging Sl;1968;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación de envases y embalajes, principalmente para la industria alimentaria.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Mayor 30 millones;Entre 50 y 250;966554056;www.itc-packaging.com;mkt@itc-packaging.com
99;Flejes Industriales Sa;1975;Industria;2420;2420 - fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero;fabricación de flejes y tubo.;Industria manufacturera;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";metal;Ibi;Alicante;Mayor 30 millones;Entre 50 y 250;965552936; www.flinsa.com/es;info@flinsa.com
100;Bornay Sl;1965;Industria;2420;2420 - fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero;fabricación y comercialización al por mayor de tubos de acero.;Industria manufacturera;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";metal;Ibi;Alicante;Mayor 30 millones;Entre 50 y 250;965550512;www.bornay.es;info@bornay.es
101;Clarios Plastics Spain Sl;1988;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricacion, venta, distribucion, comercializacion, importacion y exportacion de todo tipo de productos o mercancias relativas a la construccion o reparacion de automoviles, asi como de cualquier otro producto realizados;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Mayor 30 millones;Entre 50 y 250;966990400;www.johnsoncontrols.com;juan.pedro.garcia.torecillas@clarios.com
102;Acteco Productos Y Servicios Sl;1994;Industria;3831;3831 - separación y clasificación de materiales;gestión integral de residuos.;Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;"Recogida, tratamiento y eliminación de residuos; valorización";tratamiento_residuos;Ibi;Alicante;Mayor 30 millones;Mas de 250;966556544;www.acteco.net;comunicacion@acteco.net
103;Juguetes Industriales Sa;1970;Servicios;4649;4649 - comercio al por mayor de otros artículos de uso doméstico;importación y distribución de juguetes, ocio, infantil, artículos para baño y cocina, productos para la playa y cuidado personal. muebles terraza y jardín y artículos de navidad.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;juguetes;Ibi;Alicante;Mayor 30 millones;Entre 50 y 250;965550675;www.juinsa.es;info@juinsa.es
104;Ibiplast Sa;1975;Servicios;4675;4675 - comercio al por mayor de productos químicos;intermediarios de comercio de productos químicos y productos termoplásticos.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;quimico;Ibi;Alicante;Mayor 30 millones;Entre 5 y 25;966553531;www.ibiplast.net;ibiplast@ibiplast.net
105;Inden Pharma Packaging Sl;2015;Industria;2222;2222 - fabricación de envases y embalajes de plástico;suministro envases plásticos para la industria farmacéutica.;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Mayor 30 millones;Entre 50 y 250;966553343;www.indenpharma.com;nfo@indenpharma.com
106;The Sarao Factory Sl;2018;Servicios;4649;4649 - comercio al por mayor de otros artículos de uso doméstico;comercio al por mayor de artículos de plástico reciclados de un solo uso.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Ibi;Alicante;Mayor 30 millones;Entre 25 y 50;965564871;www.thesaraofactory.com;hola@thesaraofactory.com
107;Aljuan Sl;1995;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación de diversos tipos de artículos para el hogar en termoplásticos.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966550452;www.hegahogar.com;aljuan@hegahogar.com
108;Plastimodul Sl;1993;Industria;2223;2223 - fabricación de productos de plástico para la construcción;fabricación de herrajes para muebles de cocina.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966550009;www.plastimodul.com;info@plastimodul.net
109;Srg Global Ibi Sl;1963;Industria;2561;2561 - tratamiento y revestimiento de metales;transformación de materias plásticas para la automoción.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966552626;www.srgglobal.com;hgonzalez@srgglobal.com
110;Industrias Francisco Guillem Sl;1988;Industria;1721;"1721 - fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón";fabricación de papel y cartón ondulado para envases.;Industria manufacturera;Industria del papel;fabricacion_industrial;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;966554020;www.cartonpack.es;webig@cartonpack.es
111;Ixia Regal Sa;1996;Servicios;4690;4690 - comercio al por mayor no especializado;distribución al mayor de mobiliario para el hogar, artículos de decoración y textil para el hogar.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965550615;www.ixia.es;info@ixia.es
112;Seyca Plastic Packaging Sl;1994;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricación de envases de plástico;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966551765;www.seyca.com;info@seyca.com
113;Universal Importadora Alicantina Sa;1982;Servicios;4690;4690 - comercio al por mayor no especializado;distribución de artículos de decoración, regalo, juguetes, textil...;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965550398;www.unimasa.es;info@unimasa.es
114;Sarabia Plastic Sl;2006;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricación de envases para la alimentación.;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965553757;www.sarabiaplastics.com;info@sarabiaplastics.com
115;Crear Plast Sl;1994;Industria;2223;2223 - fabricación de productos de plástico para la construcción;fabricación y venta de artículos de plástico para la conducción del agua;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966551970;www.crearplast.es;info@crearplast.es
116;Industrial Juguetera Sa;1975;Industria;3240;3240 - fabricación de juegos y juguetes;fabricación y comercialización de juguetes.;Industria manufacturera;Otras industrias manufactureras;juguetes;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965550862;www.injusa.com;info@injusa.com
117;Ibide Fitting Plastic Sl;2017;Industria;2221;2221 - fabricación de placas, hojas, tubos y perfiles de plástico;fabricacion de accesorios de plasticos para tuberias y hidros sanitarios;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965553501;www.ibide.com;info@ibide.com
118;Industrias Climber Sa;1986;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación de embalajes y envases de poliestireno expandido;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965553974;www.industriasclimber.com;rafa@industriasclimber.com
119;Molto Y Compañia Sa;1965;Industria;3240;3240 - fabricación de juegos y juguetes;fabricaión de juguetes para 1ª infancia.;Industria manufacturera;Otras industrias manufactureras;juguetes;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966554088;www.molto.es;molto@molto.com
120;Dicarcono Sl;1998;Industria;1072;1072 - fabricación de galletas y productos de panadería y pastelería de larga duración;fabricación de galletas y barquillos para helado;Industria manufacturera;Industria de la alimentación;alimentacion;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965550851;www.dicarcono.com;hola@dicarcono.com
121;Ccl Label Spain S.l.u;1991;Industria;1812;1812 - otras actividades de impresión y artes gráficas;impresión de textos, artes gráficas. fabricación de etiquetas iml.;Industria manufacturera;Artes gráficas y reproducción de soportes grabados;artes_graficas;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965553731;www.creaprint.es;creaprint@creaprint.es
122;Bru Y Rubio Sl;1962;Servicios;4643;4643 - comercio al por mayor de aparatos electrodomésticos;distribución al mayor de artículos de ferretería (placas de acero y accesorios para matricería e inyección);"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965553199; www.bruyrubio.com;info@bruyrubio.com
123;Obleas Quintin Sl;1984;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;fabricación de obleas para alimentación;Industria manufacturera;Industria de la alimentación;alimentacion;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965552335;www.obleasquintin.com;obleasquintin@obleasquintin.com
124;Vicedo-marti Sl;1997;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación de gafas de solárium.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965554708;www.vicedomarti.com;info@vicedomarti.com
125;Colortec Quimica Sl;1995;Industria;2012;2012 - fabricación de colorantes y pigmentos;fabricación de colorantes, pigmentos y aditivos para plásticos, principalmente industriales.;Industria manufacturera;Industria química;quimico;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;966551645;www.colortec.es;info@colortec.es
126;Plasticos Inden Sl;1989;Industria;2222;2222 - fabricación de envases y embalajes de plástico;transformación de envases plásticos.;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965550631;www.plasticosinden.com;plasticosinden@plasticosinden.com
127;Media Cell Solutions Sl;2004;Servicios;4649;4649 - comercio al por mayor de otros artículos de uso doméstico;comercio al por mayor de juegos y juguetes, artículos de deporte, incluido calzado deportivo especial y botas de esquí, mobiliario y artículos de ocio y tiempo libre de playa, terraza y jardín, piscinas hinchables y desmontables, complementos de natación y buceo.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;juguetes;Ibi;Alicante;Entre 6 y 30 millones;Entre 5 y 25;----;www.intexcorp.es;info@intexcorp.es
128;Creacion Y Diseño Ibense Sl;1995;Industria;2229;2229 - fabricación de otros productos de plástico;diseño y creación de todo tipo de artículos de plastico, para expositores y venta en supermercados.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;966554139;www.cdi-ibense.com;cdi@cdi-ibense.com
129;Faperin Sl;1994;Industria;2229;2229 - fabricación de otros productos de plástico;inyección de termoplásticos.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966551936;www.faperin.com;faperin@faperin.com
130;Compañia Levantina De Reductores Sl;1994;Industria;2931;2931 - fabricación de equipos eléctricos y electrónicos para vehículos de motor;diseños mecánicos y electromecánicos, diseños de engranajes, diseño de prototipos, estudio y selección de materiales y conversiones de plásticos.;Industria manufacturera;Fabricación de vehículos de motor, remolques y semirremolques;motor;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965553607;www.clr.es;info@clr.es
131;Juypal Hogar Sl;1989;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación de productos de inyección de plásticos y acabados de materias plásticas para menaje del hogar.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965550865;www.juypal.es;juypal@juypal.es
132;Cartonajes Torralba Sl;1987;Industria;1721;"1721 - fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón";fabricación de cartón ondulado para envases y sus derivados.(plastificados).;Industria manufacturera;Industria del papel;fabricacion_industrial;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965554757;www.cartorralba.es;clientes@cartorralba.es
133;Gonher Sa;1958;Industria;3240;3240 - fabricación de juegos y juguetes;fabricación y venta de juegos y juguetes;Industria manufacturera;Otras industrias manufactureras;juguetes;Ibi;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965550900;www.gonher.es;gonher@gonher.es
134;Pohuer Creative Injection Sl;1980;Industria;2229;2229 - fabricación de otros productos de plástico;inyección de plásticos;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965550935;www.pohuer.es;administración@pohuer.es
135;Plasticos Miras Sl;1984;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricación y venta de envases y embalajes de plástico para el sector industrial.;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965550679;www.plasticosmiras.com;info@plasticosmiras.com
136;Inyectados Plasticman Sl;2002;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricación de artículos de menaje para alimentación en plástico.;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966550039;www.plasticman.es;info@plasticman.es
137;Comercio Tradicional Y Electronico Sl;2011;Servicios;4759;4759 - comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados;venta on-line de artículos de regalo.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;otros_comercios;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966559000;www.lolahome.es;tepuedoayudar@lolahome.es
138;Sarabia Tolmos Sl;1997;Industria;2229;2229 - fabricación de otros productos de plástico;taller de matriceria para la obtencion de moldes, matrices, todo tipo de utillaje, piezas industriales de taller, inyeccion de plasticos y materiales no ferreos, soldadura de plasticos, asi como su comercializacion.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 3 y 6 millones;Entre 5 y 25;966551934;----;consultas@sarabiatolmos.es
139;Adhesivas Ibi Sl;2009;Industria;1812;1812 - otras actividades de impresión y artes gráficas;impresión de etiquetas adhesivas.;Industria manufacturera;Artes gráficas y reproducción de soportes grabados;artes_graficas;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965552657;www.adhesivasibi.es;Info@adhibi.com
140;Creaciones Joviar Sl;1984;Industria;2599;2599 - fabricación de otros productos metálicos n.c.o.p.;fabricación de piezas técnicas.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966554022;www.joviar.es;joviar@joviar.es 
141;Sebastian Fustel Sl;1987;Industria;2410;2410 - fabricación de productos básicos de hierro, acero y ferroaleaciones;fabricación de moldes y portamoldes de acero y hierro y comercio mayor de hierro y acero;Industria manufacturera;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";metal;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965550141;www.sebastianfustel.es;info@sebastianfustel.com
142;Distria Global Markets Sl;2014;Servicios;4649;4649 - comercio al por mayor de otros artículos de uso doméstico;comercio al por mayor de juegos y juguetes, artículos de deporte, incluido calzado deportivo especial y botas de esquí, mobiliario y artículos de ocio y tiempo libre de playa, terraza y jardín, piscinas hinchables y desmontables, complementos de natación y buceo.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;juguetes;Ibi;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965554742;www.distria.com;info@distria.com
143;Carlos Valero Sl;1981;Industria;2229;2229 - fabricación de otros productos de plástico;metalización por alto vacío de piezas plásticas o metálicas. inyección de termo plásticos.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966555000;www.carlosvalero.es;info@carlosvalero.es
144;Expoplasti Sl;1985;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación de contenedores para residuos sanitarios.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965554501;www.europlasticosexposito.es;comercial@europlasticosexposito.es
145;Transportes Pastor Sl;1985;Servicios;4941;4941 - transporte de mercancías por carretera;transporte nacional e internacional de mercancías por carretera.;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965550499;www.ttpastor.com;jc@ttpastor.com
146;Lm Transibi Sl;1995;Servicios;4941;4941 - transporte de mercancías por carretera;transporte de mercancías por carretera nacional e internacional;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965552697;www.transibi.com;info@transibi.com
147;Inyectados Ibi Sl;1994;Industria;2229;2229 - fabricación de otros productos de plástico;transformacion de termoplasticos por inyeccion.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Ibi;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966550633;www.inyectadosibi.com;atencioncliente@inyectadosibi.com
148;Advanced Pet Sl;2001;Industria;2222;2222 - fabricación de envases y embalajes de plástico;fabricación y comercialización de envases de plástico.;Industria manufacturera;Fabricación de productos de caucho y plásticos;fabricacion_industrial;Ibi;Alicante;Entre 3 y 6 millones;Entre 5 y 25;966554056;----;anbernabeu@itc-packaging.com
149;Agrupacion De Joyeros España Sl;2020;Servicios;4648;4648 - comercio al por mayor de artículos de relojería y joyería;el comercio al por mayor de otros productos semielaborados, importación y exportación. intermediarios del comercio de combustible, minerales, metales y productos químicos industriales. comercio al por mayor de artículos de relojería y joyería.comercio al por menor de artículos de relojería y joyería;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Ibi;Alicante;Entre 3 y 6 millones;Menos de 5;----;----;unijoal2@gmail.com
150;Interibi Sl;1994;Industria;3240;3240 - fabricación de juegos y juguetes;fabricación de maquinas expendedoras y juguetes.;Industria manufacturera;Otras industrias manufactureras;juguetes;Ibi;Alicante;Entre 3 y 6 millones;Entre 5 y 25;966550614;www.interibi.com;interibi@interibi.com
151;Almendras Llopis Sau;1974;Servicios;4638;4638 - comercio al por mayor de pescados, mariscos y otros productos alimenticios;fabricación y comercialización de almendra;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;San Vicente Del Raspeig;Alicante;Mayor 30 millones;Entre 50 y 250;965661262;www.llopis.es;almendras@llopis.es
152;Smurfit Kappa Iberoamericana Sa;1962;Industria;1721;"1721 - fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón";fabricación de envases de cartón para la agricultura;Industria manufacturera;Industria del papel;fabricacion_industrial;San Vicente Del Raspeig;Alicante;Mayor 30 millones;Entre 50 y 250;965660200;www.smurfitkappa.com;smurfitkappa.alicante@smurfitkappa.es
153;Atalant Europe Sl;1997;Servicios;4675;4675 - comercio al por mayor de productos químicos;comercialización de materia prima plástica.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;quimico;San Vicente Del Raspeig;Alicante;Mayor 30 millones;Entre 25 y 50;965661828;www.atalant.com;info@atalant.com. marketing@atalant.com. logistics@atalant.com. 
154;Asociacion De Industrias Alicantinas Del Helado Y Derivados Sa;1972;Industria;1052;1052 - elaboración de helados;fabricación y distribución de helados;Industria manufacturera;Industria de la alimentación;helados;San Vicente Del Raspeig;Alicante;Mayor 30 millones;Mas de 250;965661454;www.grupoalacant.com;info@grupoalacant.com
155;Camacho Recycling Sl;1988;Servicios;4677;4677 - comercio al por mayor de chatarra y productos de desecho;reciclaje y manipulación de vidrio.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965826387;www.camachorecycling.com;admin1@camachorecycling.com
